,company,date
371,GM,2014-07-24
372,GM,2014-10-23
373,GM,2015-02-04
374,GM,2015-04-23
375,GM,2015-07-23
376,GM,2015-10-21
377,GM,2016-02-03
378,GM,2016-04-21
379,GM,2016-07-21
380,GM,2016-10-25
381,GM,2017-02-07
382,GM,2017-04-28
383,GM,2017-07-25
384,GM,2017-10-24
385,GM,2018-02-07
386,GM,2018-04-26
387,GM,2018-07-25
388,GM,2018-10-31
389,GM,2019-02-06
390,GM,2019-04-30
391,GM,2019-08-01
392,GM,2019-10-29
393,GM,2020-02-06
394,GM,2020-05-06
395,GM,2020-07-29
396,GM,2020-11-05
397,GM,2021-02-10
398,GM,2021-05-05
399,GM,2021-08-04
400,GM,2021-10-27
401,GM,2022-02-01
402,GM,2022-04-26
403,GM,2022-07-26
404,GM,2022-10-25
405,GNTX,2009-01-29
406,GNTX,2009-04-22
407,GNTX,2011-07-21
408,GNTX,2011-10-20
409,GNTX,2012-02-01
410,GNTX,2012-04-19
411,GNTX,2012-07-24
412,GNTX,2012-10-23
413,GNTX,2013-01-29
414,GNTX,2013-04-23
415,GNTX,2013-07-24
416,GNTX,2013-10-22
417,GNTX,2014-01-29
418,GNTX,2014-04-23
419,GNTX,2014-07-25
420,GNTX,2014-10-22
421,GNTX,2015-04-22
422,GNTX,2015-10-21
423,GNTX,2016-01-28
424,GNTX,2016-04-22
425,GNTX,2016-07-22
426,GNTX,2016-10-20
427,GNTX,2017-01-27
428,GNTX,2017-04-21
429,GNTX,2017-07-21
430,GNTX,2017-10-20
431,GNTX,2018-01-26
432,GNTX,2018-04-20
433,GNTX,2018-07-20
434,GNTX,2018-10-19
435,GNTX,2019-01-30
436,GNTX,2019-04-24
437,GNTX,2019-07-19
438,GNTX,2019-10-18
439,GNTX,2020-01-31
440,GNTX,2020-04-24
441,GNTX,2021-01-29
442,GNTX,2021-04-23
443,GNTX,2021-07-23
444,GNTX,2021-10-22
445,GNTX,2022-01-28
446,GNTX,2022-04-22
447,GNTX,2022-07-22
448,GNTX,2022-11-01
449,GOEV,2021-03-30
450,GOEV,2021-05-17
451,GOEV,2021-08-16
452,GOEV,2021-11-15
453,GOEV,2022-02-28
454,GOEV,2022-05-10
455,GOEV,2022-08-08
456,GOEV,2022-11-09
457,GT,2007-10-31
458,GT,2008-02-14
459,GT,2008-04-25
460,GT,2008-07-31
461,GT,2008-11-03
462,GT,2009-02-18
463,GT,2009-04-29
464,GT,2009-08-01
465,GT,2010-04-28
466,GT,2011-02-10
467,GT,2011-04-29
468,GT,2011-07-28
469,GT,2011-10-28
470,GT,2012-02-14
471,GT,2012-04-27
472,GT,2012-07-31
473,GT,2012-10-26
474,GT,2013-02-12
475,GT,2013-04-26
476,GT,2013-07-30
477,GT,2013-10-29
478,GT,2014-02-13
479,GT,2014-04-29
480,GT,2014-07-30
481,GT,2014-10-29
482,GT,2015-02-17
483,GT,2015-04-29
484,GT,2015-07-29
485,GT,2015-10-29
486,GT,2016-02-09
487,GT,2016-04-27
488,GT,2016-07-27
489,GT,2016-10-29
490,GT,2017-02-08
491,GT,2017-04-28
492,GT,2017-07-28
493,GT,2017-10-27
494,GT,2018-02-08
495,GT,2018-04-25
496,GT,2018-07-27
497,GT,2018-10-26
498,GT,2019-02-08
499,GT,2019-04-26
500,GT,2019-07-26
501,GT,2019-10-25
502,GT,2020-02-11
503,GT,2020-04-30
504,GT,2021-02-09
505,GT,2021-04-30
506,GT,2021-08-06
507,GT,2021-11-05
508,GT,2022-02-11
509,GT,2022-05-06
510,GT,2022-08-05
511,GT,2022-11-01
512,GTX,2018-11-07
513,GTX,2019-02-20
514,GTX,2019-05-07
515,GTX,2019-07-30
516,GTX,2019-11-08
517,GTX,2021-07-29
518,GTX,2021-10-28
519,GTX,2022-02-14
520,GTX,2022-04-28
521,GTX,2022-07-28
522,GTX,2022-10-26
523,HOG,2007-07-19
524,HOG,2007-10-19
525,HOG,2008-01-25
526,HOG,2008-04-17
